Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
DMF Dimethyl Formamide MERCK @1 L,CAIRAN PRO ANALIS,1.030.531.000,1,Botol,1612380,2865000,
Buret 50 ML PYREX Tutup Teflon,,,1,Pcs,155000,375000,
Reagen Nessler eceran,CAIRAN REAGEN,,7,ml,510,2800,
Reagen Nessler,CAIRAN REAGEN,,1,500 ml,510000,666000,
Reagen Schiff eceran,CAIRAN REAGEN,,480,ml,797,2000,
Reagin Schiff,CAIRAN REAGEN,,1,500 ml,398310,518500,
Labu Destilasi Pyrex 250 ml,GLASSWARE,,10,Pcs,123600,205500,
Tabung Destruksi Pyrex,GLASSWARE,,1,Pcs,60000,100000,
Buret Pyrex 10 ml Tutup Teplon,GLASSWARE,,1,Pcs,180250,277500,
Tutup Labu 250 ml,GLASSWARE,,16,Pcs,12875,21500,
MacConkey Broth,PADATAN PRO ANALIS,,1,500 gr,893750,1387500,
Mcfarland Standard Set HIMEDIA,CAIRAN REAGEN,R092-1NO,2,Set,470640,577500,
Sodium Nitroprusside,PADATAN PRO ANALIS,Na2Fe(CN)3NO.2H2O,1,25 gram,675675,1050000,
Mannitol USP,PADATAN TEKNIS,DM0130PH.1000,1,Kg,300000,499500,
GLUCOSE ORAL IMPORT,PADATAN TEKNIS,,3,Kg,45000,75500,
Kertas Saring Whatman NO 42 110 mm Eceran,,1442-110/1,64,Lembar,5328,7300,
Kertas Saring Whatman no 41 90 mm Eceran,,,87,Lembar,3300,6800,
Knapsack Sprayer,ALAT,,6,Unit,450000,675000,
Botol Drop 50 ml,BOTOL,,50,Pcs,4000,6000,
Raksa (II) Chloride 100 gram,PADATAN PRO ANALIS,CRA 53/100,1,Botol,789750,1350000,
Barium Hidroksida Oktahidrat 100 gram,PADATAN PRO ANALIS,CBA 40/100,1,Botol,48360,165000,
Barium Klorida Dihidrat 500 gram,,CBA 50/500,4,Botol,139750,228000,
Kalium Kromat (VI) 500 gram,,CKA 54/500,2,Botol,335595,573000,
BOTOL SAMPLE TUTUP BIRU,,,8,Pcs,1,2000,
ACETONE TEKNIS 100 ml,,,33,Botol,5000,15000,
Potassium ferrocyanide / Kalium ferosianida ((K4[Fe(CN)6])),PADATAN PRO ANALIS,,264,Gram,1200,3500,
BOTOL PLASTIK TUTUP MERAH,,,8,Pcs,1,3000,
ONGKIR BALI,,,1,Pack,1,50000,
Petroleum Ether 80-100 Celcius @4 LT,CAIRAN PRO ANALIS,A-1071,4,Botol,724250,1105000,
Curcumin Merck 100 mg,,,5,Botol,55000,70000,
JAS LAB S LENGAN PANJANG,,,1,Pcs,1,120000,
"Methyl Blue 0,25 %",LARUTAN REAGENT,,1,Liter,1,234600,
Isopropil Myristate / IPM,CAIRAN TEKNIS,,1,500 ml,1,95000,
Amexon,PESTISIDA,,1,Kg,525000,735000,
TMAS,PESTISIDA,,1,Kg,430000,602000,
JURIGEN 25 LITER,BOTOL,,20,Pcs,35000,45000,
Nitrile Examination Gloves Safe Gloves L,ALAT,,1,Box,41259,50000,
MALTO DEXTRIN 500GR,PADATAN TEKNIS,,5,500 gr,8000,20000,
MEAT EXTRACT PA ECERAN,,,3,Gram,11150,20000,
Alkohol 70% 100ML,,,63,Botol,1800,8000,
Acetylacetone Merck,PADATAN PRO ANALIS,1.096.000.500,1,500 ml,1919856,2950000,
Sieve Mesh 40,ALAT,SVMSH.40,1,Pcs,193500,261000,
Sieve Mesh 100,,SVMSH.100,1,Pcs,193500,261000,
Sieve Mesh 12,,SVMSH.12,2,Pcs,193500,261000,
MALTODEXTRIN SIGMA 100G,,419672-100G,1,Botol,1245500,1645500,
Kalium Nitrat Pudak 1000 gram,PADATAN PRO ANALIS,CKA.55/1000,2,Botol,404950,771500,
Zinc Chlorida / Seng Klorida 500 gram,PADATAN PRO ANALIS,CKE.50/500,1,Botol,156000,266500,
Sodium Carbonate Jenuh,,,850,ml,1,2000,
LABU LEHER 3 250 ML,,,2,Pcs,185000,275000,
Axygin Bulk Tips for AP-5000,ALAT,T-5000-C,1,Pack,431200,550000,
Diklorofenac,PADATAN PRO ANALIS,,1,Kg,1782000,2176000,
Amoxicillin Trihydrate,PADATAN TEKNIS,DM0009PH.1000,1,Kg,2090000,2553000,
Hydrocortisone Acetate Loko,PADATAN TEKNIS,DM0102LK,1,Kg,220000,317500,
Kapsul Kosong 0,ALAT,,1,Pack,49000,65000,
Kapsul Kosong 1,DISPOSABLE,,1,Pack,50000,65000,
Kapsul Kosong 2,DISPOSABLE,,1,Pack,50000,67500,
Kunyit HS,REMPAH,,1,Kg,80000,104000,
Sambiloto HS,REMPAH,,1,Kg,150000,195000,
Jahe HS,REMPAH,,1,Kg,200000,260000,
Temulawak HS,REMPAH,,1,Kg,80000,104000,
Adas Hs,REMPAH,,200,Gram,200,300,
Kayu Manis HS,REMPAH,,450,Gram,200,300,
Secang HS,REMPAH,,200,Gram,150,300,
Akar Klembak HS,REMPAH,,200,Gram,250,400,
Kelabet HS,REMPAH,,200,Gram,200,300,
Kayu Secang HS,REMPAH,,100,Gram,100,200,
B One Digital Hot Plate Stirrer DHS 19C2,ALAT,,1,Unit,4827900,7980000,
Asam Ascorbat / L(+)-Ascorbic Acid PA Eceran,PADATAN PRO ANALIS,,56,Gram,2700,11000,
Chlorampenicol 5G,PADATAN PRO ANALIS,TC204-0005-him=/A2,1,Botol,871200,1099000,
Direct Soil Activity and EC Measurement kit,ALAT,HJ993310,1,Unit,12472900,16200000,
Cover Slips 24-50 mm @100,ALAT,D23 550 34,25,Pack,84975,110000,
Cover Slips 24x40 mm @100,ALAT,D23 550 33,10,Pack,73755,95000,
Tris Hydroxymethyl Aminomethane,PADATAN PRO ANALIS,1.083.820.500,8,500 gr,2291575,3913500,
Tris Hydroxymethyl Aminomethane,,1.083.821.000,1,Kg,3863860,6598500,
TITANIUM (IV) ISOPROPOXIDE SIGMA,,SIGMA.205273,3,500 ml,1217920,1950000,
CRYOTUBE CORNING 2 ML,,,45,Pcs,1,15000,
Lecithin Soya,CAIRAN TEKNIS,,1,500 ml,1,88500,
Ammonium Dihydrogen Phospate / ADP NH4H2PO4 PA,PADATAN PRO ANALIS,1.011.260.500,1,500 gr,757300,1167000,
Clamp Universal Lokal,ALAT,1007,4,Pcs,39600,60000,
DI-POTASSIUM HYDROGEN PHOSPHATE ANHYDROUS,PADATAN PRO ANALIS,1.051.041.000,1,Kg,1396200,2149000,
DI-POTASSIUM HYDROGEN PHOSPHATE ANHYDROUS ECERAN,PADATAN PRO ANALIS,1.05104.1000.1,31,Gram,1396,3200,
GIEMSA'S AZUR EOSIN METHYLENE BLUE SOLUTION,PADATAN PRO ANALIS,1.092.040.500,1,500 ml,740000,1282500,
Sodium Chloride for Analysis MERCK 1 Kg,PADATAN PRO ANALIS,1.064.041.000,5,Pack,1086912,1632000,
Boiling Chips Granules CA. 2-8 MM MERCK 100 gr,PADATAN PRO ANALIS,1.079.130.100,2,Pack,1064268,1598000,
N-(1-NAPHTHYL)ETHYLENEDIAMINE DIHYDROCHL,PADATAN PRO ANALIS,1.062.370.005,1,Pcs,972400,1510000,
PETROLEUM ETHER FOR DENATURATION,PADATAN PRO ANALIS,1.017.691.000,1,1 L,1485770,2307000,
Selang Silicon D&N Od 10mm ID 7mm,ALAT,DN.3100710,19,meter,70015,88500,
Petroleum Ether 40-60 C SMARTLAB @4 L,CAIRAN PRO ANALIS,A-1067,5,Botol,1196580,1723000,
"Sulphuric Acid 95-97% AR SL @2,5 L",CAIRAN PRO ANALIS,A 1092 F,1,Botol,490875,660000,
Iodeine Resublimed SL @100 Gram,CAIRAN PRO ANALIS,A - 2022,1,Pack,1093125,1471000,
Ammonium Chloride SL @1 Kg,PADATAN PRO ANALIS,A - 2004,1,Pack,732600,921500,
Formaldeyhde Solution 37% SL @4 L,CAIRAN PRO ANALIS,A - 1042,1,Botol,1476475,2065000,
Starch Soluble Smartlab (Amylum) @500 Gram,PADATAN PRO ANALIS,A-2089,4,Botol,"1071427,5",1648000,
ALKOHOL FOOD GRADE,,,8,Liter,1,100000,
Acetic Acid Glacial AR SL @1 L,,A-1001-1000,5,Liter,169386,300000,
Acetic Acid Glacial AR SL 250 ml,,A-1001-0250,13,Botol,42346,95000,
Petri Dish IWAKI 90x15,,I.PETRIDISH90-15,50,Pcs,17600,32000,
ALCOHOL SWABS,,,1,Box,10323,15500,
PIPET KACA 20 CM ECERAN,,,299,Pcs,1,5500,
PORONET SWALLOW,ALAT,,4,Roll,950000,1400000,
Pupuk NPK 16 16 16 @50Kg,PUPUK,,10,Zak,655000,980000,
ZA Petro @50 Kg,PUPUK,,11,Zak,220000,525000,
Jarum Ose Kaca Bulat - Kecil,ALAT,L.50,15,Pcs,3663,5000,
Triphenyltetrazolium Chloride Merck 10 gr,PADATAN PRO ANALIS,10.838.000.100,1,Pack,1559580,1854000,
Bromothymol Blue Indicator Merck 5 gr,PADATAN PRO ANALIS,1.030.260.005,1,Pack,1767920,2549000,
WM CHROMATOGRAPHY PAPER 1 CHR 3001-861,,,1,Pack,1,1500000,
OXOID AMPICILLIN AMP 10,DISPOSABLE,CT0003B,2,Pack,382284,520000,
Reagent Bottle RRT Wide Mouth 1000 ml,GLASSWARE,RT.1403.1000,10,Pcs,73600,110000,
Extractor Soxhlet,GLASSWARE,,3,Pcs,125000,225000,
Toples CHR 500 ml 2626,BOTOL,,15,Pcs,3000,5000,
Lakban Bening Mister Smile MMP,LAINNYA,,3,Pcs,10500,15000,
Printer Canon G2020,ELEKTRONIK,,3,Unit,2220000,2553000,
CHR Sheets 200 * 200 mm @100,ALAT,3001-861,1,Pack,832590,1000000,
"Sieve Mesh 12 1,6",ALAT,SVMSH.100,1,Pcs,193500,261000,
Trans Intrument MH3070,,,1,Unit,1,9000000,
Sieve Mesh 14,ALAT,SVMSH.14,1,Pcs,193500,261000,
Mechanical Timer,ALAT,,10,Unit,25000,40000,
Stopwatch Kadio,ELEKTRONIK,KD-6128,9,Unit,20000,30000,
Mini Thermohygrometer,ELEKTRONIK,,1,Unit,20000,33000,
Sella Pen Light,ELEKTRONIK,,4,Pcs,17000,20000,
Plat KLT Silica Gel 60 F254 Sheet 20x20 Eceran,,,10,Lembar,105750,153000,
Digital Microscope 500,ELEKTRONIK,,1,Unit,500000,650000,
Mitela Pembalut Siku,DISPOSABLE,,3,Pcs,15000,25000,
Masker Medis KN95 i-Care,DISPOSABLE,,1,Box,25000,30000,
Dissecting Set Bedah Gold Cross,ALAT,,1,Pack,119850,150000,
Alumunium Foil Klinpak Refill 8m*45cm,LAINNYA,,14,Roll,40000,50000,
Disposable Hazmat Solid,DISPOSABLE,,4,Set,40000,60000,
Nuvo Hand Sanitizer Spray 18 ml,ANTISEPTIK,,38,Pcs,5000,7500,
Wiz 24 Biru Refill 400 ml,ANTISEPTIK,,6,Pcs,5000,7500,
Wiz 24 Hijau Refill 400 ml,ANTISEPTIK,,5,Pcs,5000,7500,
Wiz 24 Spray 450 ml Biru,ANTISEPTIK,,4,Pcs,15000,20000,
Wiz 24 Hijau Spray 450 ml,,,5,Pcs,15000,20000,
Wiz 24 Biru Spray 300 ml,ANTISEPTIK,,1,Pcs,20000,25000,
Wiz 24 Hijau Spray 300 ml,ANTISEPTIK,,2,Pcs,20000,25000,
Antis Hand Sanitizer Spray Timun 200 ml,ANTISEPTIK,,3,Pcs,30000,40000,
OneMed Povidone Iodine 60 ml,ANTISEPTIK,,1,Pcs,5000,7500,
Ecodine Povidone Iodine 60 ml,ANTISEPTIK,,1,Pcs,5000,7500,
"Hansaplast Plester Roll 1,25 cm*5 m",MEDIS,,84,Roll,10000,15000,
Timbangan Digital I-2000,ELEKTRONIK,I-2000,1,Pcs,53260,130000,
Amoxycillin Disc Oxoid 25 mcg AML25,PADATAN PRO ANALIS,CT0061B,7,Tube,"84768,48",175000,
Botol Vial 15 ml Bening,BOTOL,26122021132,20,Botol,600,1500,
SORBITOL 100GR,,,1,Botol,1,17000,
ASPARTAM 50 GR,,,3,Botol,1,44500,
"N,N-Dimetilformamida 1.03053.2500",,,1,"2,5 L",1,3300000,
Hanus Solution,LARUTAN REAGENT,1.091.641.000,1,Liter,1580700,3109000,
"N-Dimethyl Formamide Merck 2,5 L",,1.030.532.500,1,Botol,2735000,3825000,
SODIUM CITRATE /Na Sitrate 500 Gram,PADATAN TEKNIS,,1,500 gram,1,44500,
POTASSIUM HYDROXIDE 100 GR,,,2,Botol,1,10000,
Cotton Swab Eceran S OneMed,,,289,Pcs,640,1500,
Ongkir Travel,,,7,PAKET,1,100000,
Bakteri Escherichia Coli,Bakteri,5042022001,2,Botol,300000,375000,
Bakteri Bacillus subtilis,Bakteri,,1,Botol,300000,375000,
Bakteri Violenece,Bakteri,,1,Botol,300000,375000,
Bakteri Staphylococcus Aureus,Bakteri,5042022003,1,Botol,300000,375000,
SODIUM SULFATE TEKNIS 500 GR,,,1,500 gram,1,13500,
VACULAB 3ML EDTA K3,,,2,Pack,115500,155000,
TRIKALSIUM PHOSPHATE f.g,,,1,Kg,1,94500,
Sodium Hydroxide / NaOH Teknis 250 gram,,,34,Pack,4200,15000,
Glukosa 500 Gram,,,9,Pack,17500,45000,
Kertas Saring Whatman NO 42 90 mm Eceran,ALAT,1442-090,167,Lembar,"4302,36",6800,
H2O2 PA / Hydrogen Peroxide Soln 30% 50 ml,CAIRAN PRO ANALIS,A-1052-50,70,Botol,28860,60000,
Larutan Trichloroacetic Acid TCA 80 % 25 ml,LARUTAN REAGENT,,11,Botol,140000,265000,
Larutan Trichloroacetic Acid TCA 10 % 100 ml,LARUTAN REAGENT,,5,Botol,150000,185000,
"NaOH 0,1 N PA 100 ML",,"0,4 GR",167,Botol,2000,15000,
Papan Tulis White Board 120 * 180,LAINNYA,,2,Pcs,700000,845000,
Plastik Roll Bola 30,LAINNYA,,5,Roll,90000,117000,
Marina Cooler Box 18S,,I-17,2,Pcs,350000,455000,
Wagon Container 82 Lt,,VC-18,4,Pcs,190000,247000,
Buffer Phospat / Buffer Fosfat pH Custom 100 ml,LARUTAN REAGENT,5000,68,Botol,7000,53000,
"FeSO4 0,005M",,,1,500 ml,1,45000,
"PCR TUBE Microtube PP Serena 1,5 ml @500",ALAT,G.D1010-O/500,4,Pack,114219,165000,
Beaker Glass PYREX 2000 ml,GLASSWARE,,2,Pcs,110000,138000,
Ammonium Nitrate Merck @1000 g,PADATAN PRO ANALIS,1.011.881.000,1001,Botol,2260293,3825500,
ZEOLIT 500 GRAM,,,5,Pack,3500,25000,
IRON (III) SULFATE / Fe2(SO4)3 PA Eceran,PADATAN PRO ANALIS,,719,Gram,1,4000,
Lactose Broth for Microbiology Merck,PADATAN PRO ANALIS,M.1.07661.0500,1001,500 gr,1887888,2620000,
Magnesium Sulfate Heptahydrate MERCK @500 gr,PADATAN PRO ANALIS,1.058.860.500,3,Pack,861027,1240000,
N Hexane Merck.1.04367.1000,,,1,Botol,1,775000,
Sodium Nitrate PA NaNO3 Eceran,PADATAN PRO ANALIS,,450,Gram,1000,2800,
Petri Dish Steriplan Duran 100 * 15 mm,GLASSWARE,D.237554608,44,Pcs,27750,38000,
Vas Bunga Bambu,LAINNYA,,5,Pcs,15000,22500,
Polybag 40*40,LAINNYA,,21,Kg,24000,36000,
Kertas CFB 4 ply,,,1,Box,477000,620000,
Peptone Diluting Fluid PDF,LARUTAN REAGENT,LQ121C-5x100ml,1,Kit,704000,1056000,
"SYIRINGE FILTER PVDF 25MM 0,45 um",,,1,Pack,1,985000,
Mueller Hinton Agar Merck,PADATAN PRO ANALIS,M.1.03872.0500,1001,500 gr,2111220,3125000,
PEPTONE WATER 500 gram Himedia,PADATAN PRO ANALIS,M028-500,2,Pack,929500,1770500,
Kertas Saring Kasar @250 lbr,,,1,rim,1315673,1645000,
"Minisart Syiringe Filter Sartorius 0,2 um eceran",,56534-1,43,Pcs,42000,55000,
Aseptic Gel ONEMED 5 Liter,ANTISEPTIK,,1,jerigen,189810,250000,
Toner Green Print Brother TN-2800,LAINNYA,,4,Botol,75000,112500,
Kertas Saring Whatman NO 40 110 mm Eceran,ALAT,1440-110,1,Lembar,4172,8200,
Pyridine Merck,PADATAN PRO ANALIS,1.097.280.100,1,100 gram,513975,685300,
Zinc Acetate Dihydrate Merck,PADATAN PRO ANALIS,1.088.020.250,2,250 gram,971250,1309000,
Nickel (II) Nitrate Hexahydrate Merck,PADATAN PRO ANALIS,1.067.210.250,1,250 gram,1593130,2647500,
Pupuk ZPT Indole 3 Butyric Acid ( IBA ) - AUXIN,,,1,Pack,1,35000,
N-Hexane PA SL 50 ml,,A-1045-0050,10,Botol,11266,32000,
Duran chamber TLC ukuran 20cm,GLASSWARE,D.213635802,1,Unit,2062500,2750000,
Acetonitrile 100 ML,,,27,Botol,35000,115000,
Larutan Trichloroacetic Acid TCA 80% 10 ml,LARUTAN REAGENT,,32,Botol,56000,117000,
Benzene PA,CAIRAN PRO ANALIS,,1,ml,100,1000,
NH4CL 1% 100ML,,,3,100 ml,1,15000,
NA2CO3 1% 100ML,,,3,100 ml,1500,15000,
"NACL 0,1% 100ML",,,3,100 ml,1,10000,
D-Xylose Merck Eceran,PADATAN PRO ANALIS,,1,Gram,39000,61500,
Petri Dish Duran Sterilpan 80*15 mm,GLASSWARE,D.237554205,14,Pcs,24975,33500,
Kertas Saring Whatman NO 40 90 mm Eceran,DISPOSABLE,1440-090/1,119,Lembar,4343,6800,
Phenol Crystal AR 1 Kg,PADATAN PRO ANALIS,A-2029,6,Botol,714285,1031000,
"Minisart Syiringe Filter Sartorius 0,2 um @50 pcs",,56534,9,Pack,2100000,2750000,
Formaldehyde 37% HCHO / CH2O AR Eceran,LARUTAN REAGENT,,805,ml,370,1500,
Sodium disulfite / Sodium metabisulfite Na2S2O5 PA,PADATAN PRO ANALIS,,150,Gram,1200,2000,
Botol Plastik 100 ml Putih Gelap,,,86,Pcs,1700,2500,
GMS 50 GR,,,1,Pack,16500,25000,
Pipa Kapiler Eceran,GLASSWARE,,74,Pcs,800,1500,
ETILEN GLYKOL TEKNIS 90%,,,1,1 Kg,1,125000,
TITANIUM DIOXIDE FOOD GRADE 500GR,,,7,500gr,"50231,25",82500,
Sodium Molybdate Na2MoO4 PA eceran,PADATAN PRO ANALIS,,79,Gram,5700,13000,
Myo Inositol PA Eceran,PADATAN PRO ANALIS,,1,Gram,58400,101500,
Malathion,CAIRAN PRO ANALIS,,1,Liter,150000,195000,
Mortar Pestle RRT Dia 60mm,ALAT,CP.C-154-1-60,1,Pcs,24700,30000,
Mortar Pestle RRT Dia 80mm,,CP.C154-80,1,Pcs,24700,32000,
Object Glass OneLab 7101 '72,GLASSWARE,,150,Box,12906,22000,
"Ammonia PA 2,5 L / Amonium Hidroksida NH3 / NH4OH",CAIRAN PRO ANALIS,A-1011,7,Botol,439005,502500,
Preparat Zoology - Set 30 Buah,,,5,Pack,252000,378000,
Besi (II) Ammonium Sulfat Heksahidrat 500 gram,PADATAN PRO ANALIS,CBE 12/500,2,Botol,156250,250000,
Chloroacetic Acid Loba Chemi,PADATAN PRO ANALIS,,1,500 gr,722000,1082500,
Aquadest Refill 15,CAIRAN TEKNIS,,137,Liter,650,3000,
Labu Leher 2 500 ml DURAN,,,2,Pcs,190000,285000,
ANTIS Hand Sanitizer 500 ml,,,4,500 ml,1,38000,
1-Naphtalene Acetamide ( NAA ) AUXIN ZPT,PADATAN PRO ANALIS,,21,Pack,25000,39000,
Hormon ZPT Pupuk Gibberellin Acid ( GA3 ),PADATAN PRO ANALIS,,1,Pack,25000,39000,
Filter Crucible Dia 36mm Cap. 30 mL Por 4 Duran,,,1,Pcs,270200,365000,
Di-Ammonium Oxalate Monohydrate,PADATAN PRO ANALIS,M.1.01192.0250,1,250 gr,883400,1731500,
pH Universal Strips 0-14 MN,DISPOSABLE,MN.92110,8,Pack,94350,120000,
Nutrient Agar Merck,PADATAN PRO ANALIS,M.1.05450.0500,2,500 gr,1668330,2135000,
Yeast Peptone Agar,PADATAN PRO ANALIS,M.1.13116.0500,1,500 gr,2295200,4241500,
Filtering Flask Duran 1 Liter,,,1,Pcs,427700,765000,
Corong Buchner Dia. 10 cm,,,1,Pcs,1,275000,
Karet Corong Buchner,,,10,Pcs,1,25000,
Filter Crucible Porcelain Duran 30 ml Dia 36 mm,GLASSWARE,D.2585124,1,Pcs,243400,365000,
Labu Evaporator Round Bottom 1000 ml IKA,GLASSWARE,,9,Pcs,450000,675000,
Agar Bacteriological (Agar No 1) OXOID,PADATAN PRO ANALIS,LP0011B,1,500 gr,2097483,2965000,
TOLUENE Teknis 500 ml,,,4,Botol,10100,40000,
LABU EVAPORATOR 1000 ML DURAN,,,2,Pcs,522400,624000,
Cobalt (II) Nitrate Hexahydrate Co(NO3)2 PA,PADATAN PRO ANALIS,,63,Gram,14000,40000,
Coloum Cromatografi 25 * 40 cm Kran Teflon,GLASSWARE,,1,Pcs,185000,277500,
Ice Gel 200 ml,LAINNYA,,10,Pcs,1225,2000,
Ice Gel 400 ml,LAINNYA,,5,Pcs,1325,2000,
Ice Gel 100 ml,LAINNYA,,20,Pcs,1125,2000,
Glove Nitrile Eceran,,,69,Pasang,900,2500,
HCL 6M,,,5,1 L,24000,90000,
Phosporic Acid H3PO4 85% Teknis,CAIRAN TEKNIS,BB-PHA - 1,48,Liter,28429,64000,
Kertas Saring Whatman No 41 110 mm Eceran,,1441-110,64,Lembar,5000,8300,
Ammonia PA 100 ml / Amonium Hidroksida NH3 / NH4OH,CAIRAN PRO ANALIS,,60,Botol,18200,50000,
UPS KENIKA KE-600,,,1,Unit,418000,625000,
Rak Yellow Tip - BIOLOGIX,,,10,Pcs,65000,75000,
CHRYSIN SIGMA,,C80105-25G,1,25 gram,3316920,4323000,
H2SO4 98% TEKNIS 500ML,,,74,Botol,1929,38000,
N-Hexane PA SL 500 ml,,A-1045-0500,25,Botol,112665,240000,
botol pipet 20 ml,,,2,Pcs,1500,3000,
Ammonia PA / Amonium Hidroksida NH3 / NH4OH,CAIRAN PRO ANALIS,150320220650,3,Liter,182000,230000,
Acetone C3H6O AR 4 L,CAIRAN PRO ANALIS,A-1005,2,Botol,724275,1055000,
"IODINE 0,01 M 100 ML",,150320220651,992,ml,239,450,
OLEUM COCOS,,,2,1 L,157300,210000,
Hydrochloric Acid Solution 1.0 N @1 L,LARUTAN REAGENT,A-1050H,1,Botol,508657,900000,
OLEUM COCOS 500ML,,,1,500 ml,1,110000,
Malt Extract Agar eceran,,150320220656,36,Gram,12746,18500,
Micropipette 0.5-10 ul Single Channel Adjustable Volume Dragonlab/Dlab,ALAT,,1,unit,400000,750000,
TABEL PERIODIK UKURAN A0,,,1,Pcs,1,130000,
Sodium Hipoklorit / NaoCL 4% 1 L,,,32,Botol,24000,46000,
TEXAPONE 250 GRAM,,,1,Pack,9500,28000,
NDS / Neutral Detergent Soluble,,,1,1 L,1,180000,
HCL 4 N,LARUTAN REAGENT,170520220002,1,Liter,1,50000,
ETHYL ACETATE PA 4 LITER,,A-1038,5,Botol,1154400,1500000,
BRUCINE SULFAT HEPTAHYDRATE SIGMA,PADATAN PRO ANALIS,237868-25G,1,25 gram,1358840,1998000,
"Dinitrosalicylic Acid / DNS / 3,5-Dinitrosalicylic Acid PA Eceran",PADATAN PRO ANALIS,,1,Gram,60000,75000,
Reagen Turk 100 ml,LARUTAN REAGENT,180320220001,90,Botol,2700,19000,
Amoniak 10% 100ml,LARUTAN REAGENT,180320220003,4,Botol,1,56000,
H2SO4 2 M 100 ml,LARUTAN REAGENT,180320220004,53,Botol,2000,15000,
Botol 300 ML MULUT LEBAR,,23032022003,57,Pcs,2000,3000,
ASETOSAL,,,3,Kg,"612666,7",765000,
PETRIDISH STERIL 9X15 20PCS,,,1,Pack,1,85000,
1-Naphthol Merck,CAIRAN PRO ANALIS,M.1.06223.0050,1,50 gr,873600,1293000,
Potassium / Kalium Sodium Tartrate Merck 500 gr,PADATAN PRO ANALIS,M.1.08087.0500,2,Botol,1219890,2398000,
Pipa Kapiler Micro Hematocrite Na Heparin,GLASSWARE,B.749321,2,Tube,83916,105000,
Pipette Pumps 10 ml Green Vitlab,ALAT,V.324694,1,Pcs,158800,200000,
Pipette Pumps 25 ml Red Vitlab,ALAT,V.324794,1,Pcs,195600,245000,
Jerigen 10 Liter,BOTOL,23032022001,99,Pcs,20000,27000,
"Bosshead for rod dia. 18mm, Chrome",ALAT,,1,Pcs,39738,50000,
Centrifuge Tube PP Conical 50 ml Ex. Germany eceran,,G.D1001/1,92,Pcs,"2486,4",4000,
TTIP SIGMA,,,1,500 ml,1,1950000,
Nitric Acid Teknis 750 ml,CAIRAN TEKNIS,24032022001,8,Botol,9000,40000,
Extran MA 02 Neutral Merck,CAIRAN PRO ANALIS,1.075.532.500,1,"2,5 L",731500,1116500,
TOLUEN TEKNIS,MBAK MIRZA,,8,1 Liter,1,60000,
HYDROBATT 1500 ml @12 botol,MBAK MIRZA,,5,Karton,60000,85000,
Lampu Spectrophotometer,ELEKTRONIK,28032022001,3,Pcs,55000,200000,
Ongkir Bahan,LAINNYA,,7,unit,14000,14000,
Petri Dishes Tetriq 100 x 15 @18 Pcs,GLASSWARE,290320220001,1,Dos,288000,468000,
Larutan Amylum 1% PA 100 ml,LARUTAN REAGENT,,86,Botol,9600,45000,
Bakteri Pseudomonas Aeruginosa,Bakteri,5042022002,2,Botol,300000,400000,
Bakteri Staphylococcus Epidermidis,Bakteri,5042022004,1,Botol,300000,450000,
Router Mikrotik RB951Ui-2HnD,ELEKTRONIK,RB951Ui-2HnD,1,Unit,900000,1350000,
D-Link Gigabit Unmanaged Switch DGS-1024C,ELEKTRONIK,DGS-1024C,1,Unit,2000000,2900000,
HCL 0.0033 M 1L,MBAK MIRZA,,99,1 L,1,45000,
GETRA Noodle Maker DZM-300,ELEKTRONIK,,1,Unit,5500000,7500000,
UPS Genset,ELEKTRONIK,,1,Unit,1500000,2200000,
Mesin Perajang Pisang PSG-100,ELEKTRONIK,,1,Unit,5175000,6382000,
Mesin Oven Pengering 4 Rak (Listrik),ELEKTRONIK,,1,Unit,4500000,7000000,
B Braun Mini Spike Filter,DISPOSABLE,,1,Pcs,20125,24000,
Cyto Set Mix B Braun,DISPOSABLE,,1,Pcs,103500,115000,
B Braun Chemo Mini Spike,DISPOSABLE,,1,Pcs,37375,45000,
Amoksisilin Natrium,OBAT-OBATAN,,1,Gram,3620,5000,
Gliserin Teknis 100ml,,,80,Botol,6000,15000,
Sumbat Karet Diameter 3cm,,,4,Pcs,3000,7000,
Sumbat Karet NO 4 cm Bening,,,1,Pcs,5000,10000,
Senter Kepala Omico,,,3,Pcs,30000,75000,
Soxhlet Apparatus 100 ml Custom,GLASSWARE,,1,Pcs,350000,600000,
Izumi OL1024 Oil Less Compressor 1HP-24L,ELEKTRONIK,,1,Unit,1,4400000,
Asam Salisilat / Salicylic Acid Grade Farmasi,PADATAN PRO ANALIS,,290,Gram,250,1200,
Agarose Special Himedia 50 gram,,MB002-50G,6,Botol,559440,1050000,
Spirtus 250 ml,CAIRAN TEKNIS,,52,Botol,2800,10000,
Asam Asetat Anhidrat / Acetic anhydride PA Eceran,CAIRAN PRO ANALIS,,820,ml,1790,4000,
ASAM 5-SALISILAT MERCK 5 GRAM,,,1,5 gr,1,166500,
Kondensor Liebig Pyrex 500ML,,,1,Pcs,300000,510000,
Beaker Glass DURAN 25 ml,GLASSWARE,D.211061406,3,Pcs,28900,41000,
Boshead / Clamp Holder Lokal,ALAT,L.1004,3,Pcs,10000,18000,
"4,4' - Dipyridyl Sigma 5 gr",,,1,Botol,1,950000,
Botol ASI / Vial 100 ML,,,30,Pcs,3534,5000,
H2SO4 2 M,MBAK MIRZA,,87,Liter,8000,45000,
